fire_year,general_cause_desc,isNaturalCaused,true_cause,assessment_hectares,current_size,fire_spread_rate,fire_type,fire_position_on_slope,weather_conditions_over_fire,temperature,relative_humidity,wind_direction,wind_speed
2006,Power Line Industry,0,Burning Substance,0.01,0.01,0,Surface,Flat,Clear,20,50,W,10
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,25,30,SE,5
2006,Lightning,1,,80,1865,2,Surface,Flat,Clear,16,65,W,15
2006,Lightning,1,,0.05,0.05,0,Ground,Upper 1/3,Clear,15,30,CLM,0
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Bottom,Clear,19,47,SW,6
2006,Lightning,1,,0.01,0.01,0,Ground,Middle 1/3,CB Wet,23,34,NE,10
2006,Other Industry,0,High Hazard,0.05,0.05,0,Ground,Flat,Clear,28,45,W,5
2006,Incendiary,0,Arson Known,0.02,0.02,0.5,Surface,Flat,Clear,30,27,NW,6
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Cloudy,24.5,49,CLM,0
2006,Lightning,1,,0.1,0.1,0.1,Ground,Flat,Cloudy,25,64,NW,3
2006,Other Industry,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,25,26,W,5
2006,Lightning,1,,0.01,0.01,0,Ground,Lower 1/3,Clear,27,30,E,5
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Rainshowers,24,100,CLM,0
2006,Lightning,1,,1,0.67,2,Surface,Flat,Cloudy,26,25,E,5
2006,Lightning,1,,1,20,1,Surface,Flat,Rainshowers,19,50,NE,15
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Cloudy,23,70,W,5
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Clear,24,35,CLM,0
2006,Lightning,1,,0.01,0.01,0,Surface,Bottom,Clear,28,35,SE,5
2006,Lightning,1,,0.8,0.8,2,Ground,Flat,CB Dry,19,40,NW,10
2006,Lightning,1,,0.02,0.02,1,Surface,Flat,Cloudy,23,35,NE,10
2006,Lightning,1,,0.01,0.25,0.5,Surface,Flat,Rainshowers,25,65,N,3
2006,Railroad,0,Unpredictable Event,0.03,0.11,1,Surface,Upper 1/3,Clear,24,15,NW,5
2006,Railroad,0,Unpredictable Event,0.3,0.04,1,Surface,Upper 1/3,Clear,24,15,NW,5
2006,Railroad,0,Unpredictable Event,0.2,0.03,1,Surface,Upper 1/3,Clear,24,15,NW,5
2006,Lightning,1,,0.05,18.6,2,Crown,Flat,Clear,30,29,NE,4
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,20,80,SE,5
2006,Other Industry,0,Unpredictable Event,2,68.4,10,Surface,Bottom,Cloudy,12,30,SW,10
2006,Lightning,1,,3,165.6,20,Crown,Flat,Cloudy,26,25,E,10
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Clear,20,30,SW,2
2006,Forest Industry,0,Burning Substance,0.3,0.3,1,Surface,Flat,Cloudy,20,20,W,20
2006,Lightning,1,,0.01,0.01,0,Surface,Flat,Clear,30,34,W,2
2006,Lightning,1,,0.01,0.01,0,Ground,Middle 1/3,Clear,22,30,SE,12
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Upper 1/3,Clear,23,48,CLM,0
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,18,45,CLM,0
2006,Recreation,0,Unsafe Fire,0.01,0.01,0,Surface,Flat,Clear,20,35,NE,5
2006,Resident,0,Burning Substance,0.2,0.22,5,Surface,Flat,Clear,20,56,N,11
2006,Lightning,1,,0.01,0.01,0,Ground,Flat,Rainshowers,16,60,CLM,0
2006,Lightning,1,,0.2,0.2,0,Surface,Middle 1/3,Clear,20,45,W,15
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,22,58,SE,15
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,20,30,E,10
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Clear,28,31,CLM,0
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Clear,28,30,NW,9
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,25,35,CLM,0
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Ground,Flat,Clear,22,50,SE,5
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,21,61,CLM,0
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,21,61,CLM,0
2006,Recreation,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,21,61,CLM,0
2006,Power Line Industry,0,Unpredictable Event,0.02,0.02,0,Surface,Upper 1/3,Clear,25,40,W,10
2006,Resident,0,Permit Related,0.01,0.01,0,Surface,Flat,Clear,33,25,W,7
2006,Resident,0,Abandoned Fire,0.01,0.01,0,Surface,Flat,Clear,22,30,SE,5
2006,Lightning,1,,1.5,0.4,2,Ground,Flat,Cloudy,22,30,W,10
2006,Lightning,1,,0.01,869,3,Crown,Flat,Clear,29,26,SW,33
2006,Lightning,1,,0.3,0.03,0.1,Surface,Flat,Clear,26,30,S,15
2006,Lightning,1,,0.02,0.75,0,Surface,Flat,Cloudy,22,26,SW,33
2006,Lightning,1,,10,2750,5,Crown,Flat,Clear,29,26,SW,33
